Distance,Side,Temperature,Humidity,Pressure,Visibility,Wind_Direction,Wind_Speed,Precipitation,Weather_Condition,Junction,Traffic_Signal,Sunrise_Sunset,highway,oneway,lanes,maxspeed,sev_cat
0.0,L,57.0,55.0,29.86,10.0,W,5.0,0.0,Cloudy,False,False,Day,tertiary,True,3,25,Major below 75
0.0,L,46.0,42.0,29.68,10.0,NW,13.0,0.0,Fair,False,False,Night,tertiary,True,3,25,Major below 75
0.0,L,52.0,54.0,29.66,10.0,VAR,7.0,0.0,Fair,False,False,Day,tertiary,True,3,25,Major below 75
0.0,L,80.0,69.0,29.86,10.0,NW,3.0,0.0,Fair,False,False,Night,tertiary,True,3,25,Major below 75
0.0,L,53.0,64.0,30.18,10.0,VAR,6.0,0.0,Cloudy,False,False,Day,tertiary,True,3,25,Major below 75
0.0,L,44.0,96.0,29.73,5.0,NE,8.0,0.0,Cloudy,False,False,Day,tertiary,True,3,25,Major below 75
0.0,L,49.0,69.0,29.94,10.0,CALM,0.0,0.0,Cloudy,False,False,Night,tertiary,True,3,25,Major below 75
0.0,L,51.0,92.0,30.18,0.12,NE,3.0,0.0,Fog,False,False,Night,residential,False,2,25,Major 125 to 250
2.03999996185,R,36.0,55.0,30.12,10.0,NE,5.0,0.0,Cloudy,False,False,Night,residential,False,2,25,Major 125 to 250
0.0,R,60.0,75.0,29.97,9.0,SW,15.0,0.0,Cloudy,False,False,Day,residential,False,2,25,Major 125 to 250
0.460000008345,L,61.0,100.0,30.05,7.0,CALM,0.0,0.0,Cloudy,False,False,Night,residential,False,2,25,Major 125 to 250
0.0,R,54.0,69.0,29.96,9.0,W,33.0,0.0,Cloudy,False,False,Day,residential,False,2,25,Major 125 to 250
0.0,R,44.1,93.0,30.11,10.0,SE,5.8,0.02,Rain,False,False,Day,residential,False,2,25,Major 125 to 250
0.032,R,79.0,88.0,29.98,10.0,CALM,0.0,0.0,Cloudy,False,False,Day,residential,False,2,25,Major 125 to 250
0.340000003576,L,35.0,50.0,30.44,10.0,CALM,0.0,0.0,Fair,False,False,Night,residential,False,2,25,Major below 75
0.340000003576,L,35.0,50.0,30.44,10.0,CALM,0.0,0.0,Fair,False,False,Night,residential,False,2,25,Major below 75
0.340000003576,L,64.0,60.0,30.1,10.0,CALM,0.0,0.0,Fair,False,False,Night,residential,False,2,25,Major below 75
0.340000003576,L,64.0,60.0,30.1,10.0,CALM,0.0,0.0,Fair,False,False,Night,residential,False,2,25,Major below 75
0.340000003576,L,64.0,87.0,29.97,10.0,S,3.0,0.0,Cloudy,False,False,Night,residential,False,2,25,Major below 75
0.340000003576,L,68.0,61.0,30.17,10.0,CALM,0.0,0.0,Cloudy,False,False,Night,residential,False,2,25,Major below 75
